,city,lat,lon
0,Москва,55.75,37.61666666666667
1,Абрамцево,56.21666666666667,37.96666666666667
2,Апрелевка,55.53333333333333,37.05
3,Ашитково,55.43333333333333,38.6
4,Байконур,45.95,63.3
5,Балашиха,55.8,37.93333333333333
6,Барыбино,55.266666666666666,37.88333333333333
7,Белоомут,54.93333333333333,39.333333333333336
8,Белые Столбы,55.31666666666667,37.85
9,Бронницы,55.41666666666666,38.25
10,Вербилки,56.516666666666666,37.6
11,Верея,55.333333333333336,36.18333333333333
12,Видное,55.55,37.7
13,Вождь Пролетариата,55.41666666666666,39.3
14,Волоколамск,56.03333333333333,35.95
15,Воскресенск,55.31666666666667,38.666666666666664
16,Высоковск,56.31666666666667,36.55
17,Деденево,56.25,37.516666666666666
18,Дедовск,55.86666666666667,37.13333333333333
19,Дмитров,56.333333333333336,37.516666666666666
20,Долгопрудный,55.93333333333333,37.5
21,Дрезна,55.73333333333333,38.833333333333336
22,Дубна,56.75,0
23,Егорьевск,55.38333333333333,39.03333333333333
24,Жилево,54.96666666666667,38.016666666666666
25,Загорск,56.3,38.13333333333333
26,Загорянский,55.91666666666666,37.916666666666664
27,Зарайск,54.75,38.88333333333333
28,Звенигород,55.73333333333333,36.85
29,Зеленоград,55.0,52.5
30,Ивантеевка,55.96666666666667,37.916666666666664
31,Икша,56.16666666666666,37.5
32,Калининград,54.71666666666667,20.5
33,Кашира,54.833333333333336,38.15
34,Керва,55.6,39.56666666666667
35,Климовск,55.36666666666667,37.53333333333333
36,Клязьма,56.1681,42.9692
37,Коломна,55.083333333333336,38.766666666666666
38,Колюбакино,55.66666666666666,36.53333333333333
39,Котельники,55.65,37.86666666666667
40,Красково,55.65,37.983333333333334
41,Красногорск,55.81666666666667,37.333333333333336
42,Краснозаводск,56.43333333333333,38.21666666666667
43,Красный Ткач,55.0,6.57
44,Кубинка,55.56666666666667,36.68333333333333
45,Куровское,55.583333333333336,38.916666666666664
46,Лесной Городок,55.63333333333333,37.2
47,Ликино-Дулево,55.7,38.95
48,Лобня,56.0,37.46666666666667
49,Лосино-Петровский,55.86666666666667,38.2
50,Лотошино,56.23333333333333,35.63333333333333
51,Луховицы,54.96666666666667,39.016666666666666
52,Лыткарино,55.583333333333336,37.9
53,Люберцы,55.66666666666666,37.88333333333333
54,Малаховка,55.63333333333333,38.0
55,Можайск,55.5,36.03333333333333
56,Монино,55.833333333333336,38.18333333333333
57,Мытищи,55.91666666666666,37.733333333333334
58,Нарофоминск,55.38333333333333,36.733333333333334
59,Нахабино,55.833333333333336,37.166666666666664
60,Новобратцевский,55.85,37.38333333333333
61,Ногинск,55.85,38.43333333333333
62,Одинцово,55.66666666666666,37.266666666666666
63,Озеры,54.0,28.35
64,Орехово-Зуево,55.8,38.96666666666667
65,Павловский Посад,55.78333333333333,38.65
66,Пироговский,55.96666666666667,37.733333333333334
67,Подольск,55.41666666666666,37.53333333333333
68,Правдинский,56.0,54.33
69,Протвино,54.86666666666667,37.2
70,Пушкино,56.016666666666666,37.85
71,Пущино,54.833333333333336,37.61666666666667
72,Радовицкий,55.0,45.34
73,Раменское,55.56666666666667,38.21666666666667
74,Реутов,55.0,38.2
75,Рублево,55.78333333333333,37.35
76,Руза,55.68333333333333,36.18333333333333
77,Сергиев Посад,56.3,38.13333333333333
78,Серебряные Пруды,54.46666666666667,38.71666666666667
79,Серпухов,54.91666666666666,37.4
80,Солнечногорск,56.185114,0
81,Софрино,56.13333333333333,37.916666666666664
82,Старая Купавна,55.8,38.18333333333333
83,Старбеево,55.91666666666666,37.46666666666667
84,Ступино,54.88333333333333,38.06666666666667
85,Сходня,55.95,37.3
86,Талдом,56.73333333333333,37.53333333333333
87,Темпы,56.63333333333333,37.28333333333333
88,Томилино,55.65,37.95
89,Туголесский Бор,55.55,39.8
90,Тучково,55.6,36.46666666666667
91,Фосфоритный,55.333333333333336,38.88333333333333
