,Название,Форма растения,Вид бобовых,Высота растения,Срок созревания
128,Фасоль вьющаяся Екатерина,Вьющаяся,Фасоль,Среднерослое,Среднеспелый
129,Фасоль овощная Амстер-дамстер,Кустовая,Фасоль,Среднерослое,Среднеспелый
130,Фасоль овощная Кетти,Кустовая,Фасоль,Среднерослое,Раннеспелый
131,Фасоль овощная Анастасия,Вьющаяся,Фасоль,Высокорослое,Среднеспелый
132,Горох овощной Фиолетовый сахар,Вьющаяся,Горох,Высокорослое,Среднеспелый
133,Фасоль вьющаяся Ажурная беседка,Вьющаяся,Фасоль,Высокорослое,Позднеспелый
134,Фасоль вьющаяся Солнечный поток,Плетистая,Фасоль,Высокорослое,Раннеспелый
135,Фасоль обыкновенная Рубин,Кустовая,Фасоль,Низкорослое,Позднеспелый
136,Фасоль овощная Дружная семейка,Кустовая,Фасоль,Низкорослое,Раннеспелый
137,Фасоль вьющаяся Розалинда,Вьющаяся,Фасоль,Высокорослое,Среднеспелый
138,Фасоль овощная Альбина,Кустовая,Фасоль,Низкорослое,Раннеспелый
139,Фасоль вьющаяся Златовласка,Вьющаяся,Фасоль,Высокорослое,Среднеспелый
140,Фасоль овощная Настенька,Кустовая,Фасоль,Низкорослое,Среднеспелый
141,Фасоль обыкновенная Ласточка,Кустовая,Фасоль,Низкорослое,Раннеспелый
142,Фасоль обыкновенная Красная шапочка,Кустовая,Фасоль,Низкорослое,Среднеспелый
143,Горох овощной Окошкин дом,Кустовая,Горох,Низкорослое,Раннеспелый
144,Горох овощной Семейные радости,Плетистая,Горох,Среднерослое,Раннеспелый
145,Горох овощной Прима,Плетистая,Горох,Среднерослое,Ультраскороспелый
146,Бобы овощные Белые сахарные,Вьющаяся,Бобы,Высокорослое,Среднеспелый
147,Фасоль обыкновенная Горожанка,Кустовая,Фасоль,Низкорослое,Среднеспелый
148,Фасоль обыкновенная Косички,Кустовая,Фасоль,Низкорослое,Среднеспелый
149,Фасоль обыкновенная Пацанки,Кустовая,Фасоль,Низкорослое,Среднеспелый
150,Горох овощной Хаф Пинт,Кустовая,Горох,Низкорослое,Среднеспелый
151,Фасоль овощная Сакса без волокна 615,Кустовая,Фасоль,Низкорослое,Раннеспелый
152,Бобы овощные Белая гвардия,Кустовая,Бобы,Среднерослое,Среднеспелый
